句子1: 毋庸讳言，涉企谣言如同寄生在市场肌体上的“毒瘤”，不仅误导消费者，更损害企业商誉，让企业蒙受不白之冤，可谓不胜其烦、不堪其苦。
人名: 无
地名: 无
机构名: 无

句子2: AI红包大战之热，令人不禁想起11年前那个改写移动支付格局的除夕之夜。
人名: 无
地名: 无
机构名: 无

句子3: 他表示，目前我国的超大规模市场优势还没有充分发挥出来，扩大消费特别是服务消费潜力巨大，城市更新、传统基础设施改造升级、新型基础设施建设等领域都有巨大的投资空间。
人名: 无
地名: 无
机构名: 无

句子4: 人民网留言板，成为连接党委政府与各族群众的“连心桥”。
人名: 无
地名: 无
机构名: 无

句子5: 国家金融监督管理总局、中国人民银行、证监会联合发布公告，批准渣打银行、汇丰银行、花旗银行在上海自贸试验区设立全资证券公司。
人名: 无
地名: 上海
机构名: 国家金融监督管理总局、中国人民银行、渣打银行、汇丰银行、花旗银行

句子6: 提前12小时预报到县、提前6小时和2小时预报到乡镇村，让基层干部能第一时间组织群众转移。
人名: 无
地名: 县
机构名: 无

句子7: 台北市长蒋万安15日受访时表示，赖清德不应该美化殖民主义，一再撕裂台湾社会，制造更深的仇恨与对立。
人名: 赖清德
地名: 台北市、蒋万安、台湾
机构名: 无

句子8: 此举意义深远，既是优化营商环境的有力抓手，也是维护公平竞争的重要举措，为市场主体安心经营筑牢了坚实的网络防线。
人名: 无
地名: 无
机构名: 无

句子9: ” 中新社北京3月15日电 据中国国防部网站消息，3月中旬，中越第十次边境国防友好交流活动将在中国广西壮族自治区、越南广宁省相关地区、口岸及北部湾海域举行。
人名: 无
地名: 北京、中越、中国、广西壮族自治区、越南、广宁省、北部湾
机构名: 中新社、中国国防部

句子10: 传统的单一税种及来源征管模式已难以适应当前的税收环境。
人名: 无
地名: 无
机构名: 无

句子11: 此外，综合所得的基本减除费用标准从以往的按月计算调整为按年计算，基本减除费用标准提高到5000元/月（6万元/年）。
人名: 无
地名: 无
机构名: 无

句子12: 文章认为，中东冲突升级加剧了对本已不确定的全球经济造成的损害。
人名: 无
地名: 中东
机构名: 无

句子13: 涉企网络辟谣专区不能止步于“辟”，还要在“用”上做足文章。
人名: 无
地名: 无
机构名: 无

句子14: 伊朗21日对以色列南部多座城市发动空袭，以防空系统未能拦截至少两枚弹道导弹。
人名: 无
地名: 伊朗、以色列
机构名: 以防空系统

句子15: 我们希望有关地区国家顺应历史大势和时代潮流，早日作出真正符合本国人民根本和长远利益的正确选择。
人名: 无
地名: 无
机构名: 无

句子16: 公安部部长王小洪、国家安全部部长陈一新、司法部部长贺荣在天津召开全国政法工作会议，天津市市委书记陈敏尔、市长张工作汇报。
人名: 王小洪、陈一新、贺荣、陈敏尔
地名: 天津、天津市
机构名: 公安部、国家安全部、司法部

句子17: 正如习近平总书记在参加江苏代表团审议时所说的，“要准确把握新形势下人民群众对美好生活新期待和民生工作新特点”。
人名: 习近平
地名: 江苏
机构名: 无

句子18: 第四，高收入个人税收流失的差异贡献率较为集中，财产转让所得税和财产租赁所得税是税收治理的未来重点。
人名: 无
地名: 无
机构名: 无

句子19: 叶永青判断，2026年乃至未来五年的个税改革将呈现五大趋势：一是扩大综合所得征税范围，逐步将经营所得、财产转让所得等纳入；
人名: 叶永青
地名: 无
机构名: 无

句子20: 国际经验证明，能否形成合理的中等收入群体规模、实现居民收入水平与经济发展水平同步提升，关系到社会结构的稳定性与长远发展的后劲。
人名: 无
地名: 无
机构名: 无

句子21: 家庭申报可结合育儿需求，按家庭内人均收入差异设置扣除标准，这是未来改革的重要方向，但当前应先完善现有税制体系，再逐步推进家庭申报制度。
人名: 应先
地名: 无
机构名: 无

句子22: 这些年，村里不仅通过引进品牌商铺、开发商业用地产生收益分红，还把一半收入用于建公园、养老服务中心等民生项目，成为优化收入分配的生动实践。
人名: 无
地名: 无
机构名: 养老服务中心

句子23: 声明说，沙特谴责伊朗对沙特等地区国家的袭击，“将毫不犹豫地采取一切必要措施，维护主权，保障国家安全”。
人名: 沙特
地名: 伊朗
机构名: 无

句子24: 子女教育、继续教育、大病医疗、住房房屋贷款或者住房租金、赡养老人的支出，纳入专项附加扣除范围。
人名: 无
地名: 无
机构名: 无

句子25: 李华说，个税要发挥调节作用，需要通过扩中、提低、限高展开。
人名: 李华
地名: 无
机构名: 无

句子26: 当地时间14日18时10分左右，韩国首尔市中心明洞地区，一栋7层建筑内的旅馆起火，火灾在21时35分左右被安全扑灭。
人名: 无
地名: 韩国、首尔、明洞
机构名: 无

句子27: 在孟加拉国首都达卡，当地人每天要在加油站排队几小时，才能给摩托车加上政府限量供应的汽油。
人名: 无
地名: 孟加拉国、达卡
机构名: 无

句子28: 蒋斌说，我们正告日方，穷兵黩武的老路是自取灭亡的不归路。
人名: 蒋斌
地名: 无
机构名: 无

句子29: “撒钱”换来的流量难以为继，最终决定去留的，是产品本身能否满足真实需求、创造实际价值。
人名: 无
地名: 无
机构名: 无

句子30: 叶永青认为，与增值税、企业所得税相比，个税在财政收入规模上仍较为有限，占税收总额约9%左右，远低于OECD国家（经济合作与发展组织）平均约27%的水平。
人名: 叶永青
地名: 无
机构名: 无

句子31: 此次地震震源深度为23.2公里，震中位于宜兰县政府东南方向49.6公里的近海。
人名: 无
地名: 宜兰县
机构名: 无

句子32: 他表示，如今明确部署远程进攻性武器，射程远超日本领土范围，充分证明日本“新型军国主义”已不只是危险苗头，而是赤裸裸的现实威胁，是对地区和平安全的严重破坏。
人名: 无
地名: 日本
机构名: 无

句子33: 因此，必须对恶意造谣、蓄意抹黑者形成法律震慑。
人名: 无
地名: 无
机构名: 无

句子34: 未来，一是要将高净值人群的资本所得纳入更严格征管，强化境外所得CRS申报、股权转让税收监管，使高收入群体“多渠道收入”的综合税负趋于合理；
人名: 无
地名: 无
机构名: 无

句子35: 从中期（及更长周期）看，随着居民收入增长和税制结构优化，个税的职能将向“收入分配调节+财政筹资”双轮驱动升级。
人名: 无
地名: 无
机构名: 无

句子36: 他赞同黎巴嫩政府去年8月作出推动武器“专属管控权”的决定，强调黎巴嫩真主党必须遵守该决定及联合国安理会相关决议。
人名: 无
地名: 无
机构名: 黎巴嫩政府、黎巴嫩真主党、联合国安理会

句子37: 伊方称，调查显示，这些嫌疑人长期从事损害伊朗国家安全的活动，主要包括收集并向以色列方面发送伊朗军事、警务及安全设施的详细地理坐标和相关参数。
人名: 无
地名: 伊朗、以色列
机构名: 无

句子38: 蒋斌回答相关提问时作上述表示。
人名: 蒋斌
地名: 无
机构名: 无

句子39: 蒋斌指出，美国和以色列未经安理会授权，在伊美谈判进程中对伊朗发动军事打击，严重违反国际法和国际关系基本准则。
人名: 蒋斌、伊美
地名: 美国、以色列、伊朗
机构名: 无

句子40: 应用层面的热闹，不能掩盖基础层面的短板；
人名: 无
地名: 无
机构名: 无

句子41: 台湾大高雄里长交流协会总干事黄愈丰对中新网“燕新台”工作室表示，回顾历史，有许许多多台湾青年回到祖国怀抱投身抗战。
人名: 黄愈丰、燕新台
地名: 台湾、高雄
机构名: 交流协会

句子42: 当前，我国中等收入群体规模已超过4亿人，未来10多年有望超过8亿人。
人名: 无
地名: 无
机构名: 无

