label,category,text,source_file
0,体育,"斯内德:冠军肯定是荷兰 我确实可能成为历史第一人 本版撰稿 本报记者 曹政宁 当全世界各色足球专家头疼于分析谁会夺冠的时候,世界杯决赛在斯内德看来简直毫无悬念可言,一句话就能说完:“究竟两家里谁会赢得决赛?那就是我们。”这位中场天才已经入围了金球奖提名,凭着对乌拉圭那场踢进的第5粒进球,金靴奖似乎也触手可及,难怪他连失败两字怎么写都不想知道,“别再跟我说什么失败了,这让我变得很有攻击性。” 刚过去的赛季里,他跟随国米拿到了三冠王,如果能在世界杯里包揽冠军、金靴和金球无疑将令他成为史上最",14512.txt
1,科技,"3日行情:55寸高性能液晶电视暴跌千元 海信TLM55T69GP在外观设计上采用黑色高亮注塑技术,屏幕边框两边以细微的弧线设计且圆滑过渡。TLM55T69GP边框四周嵌以白色透明有机玻璃边框,同时在下边框部分进行了加宽处理,整机感觉很大气。 海信TLM55T69GP搭载了拥有1920 1080分辨率的S-IPS液晶面板,采用真+240Hz技术,高清视频与游戏画面都相当顺畅,几乎除去了拖影现象,通过USB接口还能支持1080p多种格式视频播放,通过LAN接口还能网络连接。在功能",526259.txt
2,财经,"股指期货主力合约易手 国泰君安大幅增持多单 从盘后中金所公布的持仓数据显示,1104合约中,多空前20名主力席位合计持有空单16010手,而多单则为12491手,净空之态依旧延续。值得一提的是,在该合约上,国泰君安期货大幅增持513手多单,远多于240手的空单增持量。 记者 钟文倩 编辑 梁伟 在经历数日连续下挫之后,3月16日,股指期货四合约联袂收高,涨幅均在1.5%一线。 值得关注的是,由于本周五IF1103合约将在交割后摘牌,因此主力资金在15日开始出现移仓动作之后,于昨日",828901.txt
1,科技,"携程拟助企业客户减少商旅支出 乐琰 携程旅行网昨天宣布,为了进一步拓展其商旅业务,启动面向企业客户的携程商旅通智能报告,该报告将帮助企业客户减少商旅支出。 携程网高层表示,虽然目前商旅业务占据公司整体业务量比例很小,但未来发展会很快,预计将以每年三位数字的增长率提升。此前,携程网对手e龙的大股东EXPEDIA刚刚宣布独立入华发展商旅业务,中国商旅市场一时火药味十足。 据悉,携程主要依托数据库开发了商旅通智能通报告,该报告可以让企业客户以在线形式实时掌握花费动态,共有",534117.txt
3,教育,"湖北2010年高考文理状元都是复读生引争议 记者 罗欣 全省文理状元,都是高分复读生!昨日高考 论坛 成绩揭晓后,该现象引起一些老师和专家的热议。 省理科状元毛超、省文科状元严浩去年分别考了595分、530多分,都过了重点线。因为没有考上自己的理想学校,他们分别选择了复读,在今年的高考中约提高了100分,一跃成为状元。“过去是考不上大学选择复读,现在不少人是考不上好大学选择复读。”湖北大学教育学院副院长叶显发认为,复读确实给一些学生提供了更多的选择机会,但也可能引起盲目效仿,“考",302984.txt
2,财经,"29只新基金在发 刷新单周新纪录 部分境外资金通过购买基金进入A股市场 证券时报记者 余子君 见习记者 刘 明 本报讯 股市火爆,国内新基金发行“趁热打铁”,本周在发数量达到29只,刷新单周在发基金纪录。另外,行情的向好也引来部分境外资金通过购买基金进入A股市场,而相关政策的模糊使这些资金能够“绿灯”通行。 据证券时报记者统计,今日共有5只新基金上柜发行,分别为农银货币、浦银300、嘉实新动力、中海环保和信诚金砖四国。此外,华宝新兴也确定于11月10日开始发行,加上正在",812935.txt
0,体育,"棋天下杯女子天元决赛首局 北大邹华力克对手 谱 新浪体育讯 点击观看棋谱 北京时间4月18日上午,棋天下杯首届北京市大学生女子围棋天元邀请赛决赛首局战罢,北京大学的邹华执黑中盘击败北京建筑工程学院的郭霄,先拔头筹,在三番棋决赛里占得先机。 马晓春少儿围棋明光桥分部开业 本次比赛由马晓春围棋研究院和朝阳棋院主办,马晓春青少年棋院明光桥分部承办。决赛的采用三番棋赛制,经过猜先,首局比赛邹华执黑先行。布局阶段,邹华在右下下得非常强硬,白棋局面非常被动,两块棋都面临治孤的问题。最终郭霄的两块",56712.txt
2,财经,"国联安红利首度分红 每10份派2元 新浪财经讯 国联安基金公司日前公告称,旗下国联安红利基金的基金合同于2008年10月22日生效。截至2009年5月5日,该基金单位净值为1.261元。经基金管理人计算并由基金托管人招商银行复核,截至2009年5月5日,该基金已实现可分配收益超过4169万元。 公司决定向基金持有人按每10份基金份额派发红利2元,这也是该基金成立以来的首度分红。公告显示,国联安红利基金的权益登记日、除息日为2009年5月15日,红利分配日为2009年5月1",805844.txt
1,科技,"配HD6370独立显卡 方正R410本报价3599 方正一款独显笔记本R410-CP302 VUR410CU-I338AX 正在经销商处进行火热促销。这款机型采用了英特尔i3-380M处理器,虽然配置比较低端,但是配合ATI Mobility Radeon HD 6370独立显卡也能满足用户的影音娱乐需要。经销商的最新报价仅为3599元,感兴趣的朋友不妨关注一下。 方正R410-CP302 VUR410CU-I338AX 笔记本采用银灰色为机身主色调,顶盖以及掌托部分有类似于衣物的编织网",623376.txt
1,科技,"春暖花开3月将至 近期值得购买DV推荐 作者:李金昊 随着3月份接近了尾声,春天的脚步也日益临近。踏青赏花的人也逐渐开始计划自己的出游行程。随着视频网站和播客 视频分享 一族的兴起,不少消费者除了拍摄照片以外更喜欢用影像视频来记录自己的出游点滴。下面我们就向大家推荐几款最近价格比较稳定的数码摄像机产品,希望对正在有计划购买此类产品的消费者带来选购帮助。 佳能推荐机型 R106 参考价格:4299元 佳能R106是一款拥有20倍光学变焦的高清格式闪存DV。佳能中端家用摄像机在液",489673.txt
1,科技,"儿子起诉母亲索要600元上网费 法院认定超出抚养范围不予支持 本报讯 通讯员赵莹 小杰 化名 在父母离婚后判归父亲抚养,母亲每月给付其抚养费200元。后小杰因在家上网交纳了1200元的上网费,遂将母亲起诉至顺义法院要求承担上网费的一半。顺义法院审理后认为上网费不属于抚养费的范畴,故判决驳回了小杰的部分诉求。 小杰诉称,每月200元的抚养费不能满足我的教育需要。我父亲身体有病,没有固定生活来源,曾多次与母亲协商增加抚养费,一直未获同意,故起诉要求增加抚养费至每月600元",560182.txt
3,教育,"广东高考将要“变脸”考生该不该复读? 本报讯 广东高考录取已进入二B补填志愿阶段。面对动辄上万元的二B高额学费,一些考生面临着复读或升读的选择。昨天,市教育局有关负责人在接受采访时提醒,由于2010广东省新高考将正式实施,选择复读需要谨慎权衡。 是否复读考生反应不一 汕头一中学生小陈,今年高考成绩刚达二A线,在选填志愿时就花了好大力气,结果仍未能如愿被录取。他本来打算选择复读,听到新高考方案就泄了气。他说,自己“X科”选读的是生物,如果没了“X科”,化学和物理的份量就可能要",298007.txt
3,教育,"赴澳大利亚读研究生的五大途径 研究型 研究类硕士学位 澳大利亚的大学大多都开设研究类硕士课程,但是开设的专业方向有所区别,根据教授研究的专业方向来决定。申请者需要与申请专业方向的导师确定其方向是否相符,符合者方能递交申请。在申请签证时,该类别的学生若申请的课程超过1年,只需要提供一年的生活费和学费的担保费用即可。研究类的硕士课程较易申请奖学金。 五星型 课程类硕士学位 部分课程类硕士学位能接受没有本科相关专业背景的学生入读,如:商科、信息工程、翻译、教育等。澳大利亚",284914.txt
3,教育,"09考研网上报名开始 本月底结束 考研网上报名开始 本月底结束 我省共设海南大学 儋州校区、海甸校区 和海南师范大学三报名点 记者 解莹 本报讯 2009年全国硕士研究生入学考试初试将于2009年1月10日至11日进行。10月10日至31日为应届、非应届考生统一网上报名时间。海南省共设三个报名点,分别为:海南大学 儋州校区 、海南大学 海甸校区 和海南师范大学。 据了解,2009年硕士研究生入学考试仍分初试和复试,初试日期为2009年1月10日至11日。具体考试时间仍为",311284.txt
1,科技,"以实用为先 佳能A3100IS仅售1280元 【IT168 沈阳行情】佳能的PowerShot A系列一贯以实用为先,上市后凭借精美的外观设计和出色的性能表现赢得了广大消费者的青睐。目前一款采用IS光学防抖技术的佳能A3100IS在商家沈阳佳沈电子最新售价为1280元,感兴趣的朋友不妨多关注一下。",493490.txt
