token,freq
考生,879
比赛,720
项目,713
学生,650
专业,526
就是,520
招生,486
学校,462
高考,437
考试,418
录取,412
平米,404
球队,396
教育,350
球员,349
户型,338
成绩,335
孩子,335
企业,290
学习,273
家长,266
时候,265
选择,263
所有,258
不能,242
国家,237
产品,237
比较,234
其他,233
主要,233
去年,233
分钟,232
而且,231
投资,231
特别,228
重要,228
服务,228
开发商,227
还有,226
表现,226
大学,226
手机,226
不同,224
文化,222
能够,220
用户,219
达到,219
知道,219
关注,217
设计,214
现场,214
房地产,214
这种,213
楼盘,210
支持,207
部分,206
机会,206
采用,206
为了,206
因此,206
地产,205
高校,204
结束,204
接受,204
透露,203
进入,203
政策,203
创意,203
价格,202
技术,202
经济,202
只有,200
继续,199
超过,199
应该,197
能力,197
这是,196
正式,194
楼市,194
拍摄,193
两个,193
来说,193
管理,191
位于,190
调整,188
不少,188
社会,188
一次,187
最大,187
世界,186
得到,186
方式,186
未来,183
电影,182
发现,182
看到,181
之前,181
第一,179
志愿,179
学院,178
变化,177
必须,177
那么,176
俱乐部,175
别墅,175
销售,173
报考,173
拥有,173
网络,173
使用,172
一起,172
其实,172
如何,171
觉得,171
冠军,171
产业,171
需求,170
老师,170
直接,169
当时,169
全国,169
集团,169
推出,168
中心,168
一样,168
结果,168
最新,167
只是,167
准备,166
朋友,165
置业,164
实现,164
万科,164
赛季,163
过程,163
开盘,163
考研,162
新闻,162
客户,162
行业,162
甚至,160
正在,160
香港,160
网友,160
为准,159
有关,159
完成,158
介绍,158
联赛,157
深圳,157
合作,156
均价,155
这次,155
不断,154
网上,154
研究,154
预计,153
平方米,153
样板间,152
基础,152
另外,151
仅供参考,150
增加,150
除了,150
训练,149
一场,149
按照,149
价值,148
万元,148
院校,148
日本,148
一位,147
功能,147
报名,147
人士,146
优惠,146
一点,145
喜欢,145
昨天,144
提高,144
左右,144
优势,142
具有,141
分别,141
目标,140
房价,140
政府,140
数据,138
决定,137
当然,135
面积,135
个人,135
带来,134
增长,134
有些,134
住宅,134
此外,134
建设,134
选手,134
出来,133
