label,category,text,text_processed
1,科技,"“宅男”上传《恐怖分子手册》电子文档 本报讯 记者刘可 21岁的北京小伙子冯某在网站上发布《恐怖分子手册》电子文档,其中包含炸药、汽油弹等武器的制造方法,被控涉嫌传授犯罪方法罪。昨天,冯某在朝阳法院受审。 据检察院指控,去年11月26日和今年4月19日,冯某用“但他”的网名分两次向百度“文库”栏目中发布《恐怖分子手册》电子文档,当中教授了各种炸药、炸弹、汽油弹、燃烧弹等爆炸物的配方及制作方法。根据统计,这篇《恐怖分子手册》两次上传后的浏览量已分别达到了1727次和338次,",上传 恐怖分子 手册 电子 文档 本报讯 刘可 21 北京 小伙子 冯某 网站 发布 恐怖分子 手册 电子 文档 包含 炸药 汽油弹 武器 制造 方法 被控 涉嫌 传授 犯罪 方法 昨天 冯某 朝阳 法院 受审 检察院 指控 去年 11 26 今年 19 冯某 网名 两次 百度 文库 栏目 发布 恐怖分子 手册 电子 文档 当中 教授 各种 炸药 炸弹 汽油弹 燃烧弹 爆炸物 配方 制作方法 根据 统计 这篇 恐怖分子 手册 两次 上传 浏览量 分别 达到 1727 338
0,体育,"黎明京:印度力量再次发力 苏蒂尔才是蒙扎排位英雄 新浪体育讯 虽然费斯切拉离开了,但印度力量仍在继续发力。尽管最终汉密尔顿夺走了意大利大奖赛的杆位,但这次排位赛的英雄是印度力量的苏蒂尔。 意大利大奖赛是全球法拉利车迷最期待的一场比赛。莱科宁在比利时大奖赛夺得今年的首个大奖赛冠军,让法拉利实现了“0”的突破,人们认为法拉利已经摆脱了年初的阴影。在意大利排位赛的第一节,莱科宁排名第一,再次让法拉利车迷坚定了信念。不过,声称在高速赛道不占优势的迈凯轮赛车表现强劲,汉密尔顿拿到了第二节的第一。",黎明 印度 力量 再次 发力 蒂尔 蒙扎 排位 英雄 新浪 体育讯 虽然 费斯 切拉 离开 印度 力量 继续 发力 尽管 最终 汉密尔顿 夺走 意大利 大奖赛 杆位 这次 排位赛 英雄 印度 力量 蒂尔 意大利 大奖赛 全球 法拉利 车迷 期待 一场 比赛 莱科宁 比利时 大奖赛 夺得 今年 首个 大奖赛 冠军 法拉利 实现 突破 人们 认为 法拉利 已经 摆脱 年初 阴影 意大利 排位赛 第一节 莱科宁 排名 第一 再次 法拉利 车迷 坚定 信念 不过 声称 高速 赛道 占优势 迈凯轮 赛车 表现 强劲 汉密尔顿 拿到 第二节 第一
2,财经,"前七月基金排名出炉 华夏复兴业绩翻番 前7月基金业绩排名基本落定。由于昨天是7月份最后一个交易日,昨日的交易已经宣告了各类型基金的排名情况。 A股市场7月延续了前期的上涨态势,截至昨日,今年来上证综指上涨82.42%,沪深300指数上涨99.96%,深成指上涨104.64%。 股市的上涨带动了偏股型基金业绩的提升。根据银河证券 行情股吧 基金研究中心最新统计数据显示,截至昨日,今年来,标准股票型基金平均净值增长率为 67.55%,标准指数型基金的平均净值增长率为92.15%",七月 基金 排名 出炉 华夏 复兴 业绩 翻番 基金 业绩 排名 基本 落定 由于 昨天 月份 最后 交易日 昨日 交易 已经 宣告 类型 基金 排名 情况 A股 市场 延续 前期 上涨 态势 截至 昨日 今年 上证综指 上涨 82.42% 300 指数 上涨 99.96% 深成指 上涨 104.64% 股市 上涨 带动 偏股 型基金 业绩 提升 根据 银河证券 行情 基金 研究 中心 最新 统计数据 显示 截至 昨日 今年 标准 股票 型基金 平均 净值 增长率 67.55% 标准 指数 型基金 平均 净值 增长率 92.15%
3,教育,"考研必知:2011年考前最后一天全攻略 距离研究生入学考试还有最后一天,从今天起研考将步入最后的备战时刻。根据以往的经验,很多同学在这一天心情都非常激动,24小时后即将走进考试,面对最终的角逐。在这最后的一天,为了帮助同学们确保万无一失,防止一些突发情况或失误的发生,跨考老师提醒大家注意以下几点: 保持平和心态 考研不只是硬实力的考查,还有我们的软实力。心态决定命运。在备战过程中一个人的心理素质也是一个至关重要的因素。考前有些同学难免会出现紧张情绪,一方面背负考试的重大意义,",考研 必知 2011 考前 最后 一天 全攻略 距离 研究生 入学考试 还有 最后 一天 从今天起 研考 步入 最后 备战 时刻 根据 以往 经验 很多 同学 一天 心情 非常 激动 24 小时 即将 走进 考试 面对 最终 角逐 最后 一天 为了 帮助 同学 确保 万无一失 防止 突发 情况 失误 发生 跨考 老师 提醒 大家 注意 以下几点 保持 平和 心态 考研 只是 实力 考查 还有 实力 心态 决定 命运 备战 过程 心理素质 至关重要 因素 考前 有些 同学 难免会 出现 紧张 情绪 一方面 背负 考试 重大意义
2,财经,"里昂证券:全年石油均价为60美元 王磊燕 昨日,里昂证券中国及日本石油及天然气研究部主管乔德伟 David Hewitt 在中国投资论坛上表示维持该行年初预测的60美元/桶的原油均价,并表示目前的价格是各方都能接受的合理价格。 乔德伟表示:“我们认为2009年原油的均价是60美元/桶,2010年是75美元/桶,之后应该是80美元/桶。”他指出,在需求方面,发展中国家已经企稳回升,OECD国家也已经触底;在供应方面,欧佩克的产出和限额配合得很好。因此,他认为目前的油价是一",里昂 证券 全年 石油 均价 60 美元 王磊燕 昨日 里昂 证券 中国 日本 石油 天然气 研究部 主管 乔德伟 David Hewitt 中国 投资 论坛 维持 该行 年初 预测 60 美元 原油 均价 目前 价格 各方 接受 合理 价格 乔德伟 认为 2009 原油 均价 60 美元 2010 75 美元 之后 应该 80 美元 指出 需求 方面 发展中国家 已经 企稳 回升 OECD 国家 已经 触底 供应 方面 欧佩克 产出 限额 配合 因此 认为 目前 油价
0,体育,"国安铁腰或登陆韩国K联赛 两年前已做好出国准备 本报讯 记者张磊 还有四天,国安队的自由人将全部解冻,与俱乐部的最后约束将消失。五名自由球员的去向继续牵动着京城球迷的心。记者了解到,黄博文下赛季有望前往海外发展。知情人士透露,K联赛也许是他的落脚地。如此一来,杨昊前往广州恒大的道路似乎更加平坦,加上杜文辉去意渐明,徐云龙和王长庆成为俱乐部重点挽留的对象。 作为国安一手培养起来的球员,黄博文志向并不在国内联赛,前往海外发展成为其主要追求。队友评价小黄的去向时都表示:“如果到国外肯定还能",国安 铁腰 登陆 韩国 联赛 两年 做好 出国 准备 本报讯 张磊 还有 四天 国安队 自由人 全部 解冻 俱乐部 最后 约束 消失 五名 自由 球员 去向 继续 牵动 京城 球迷 了解 黄博文 赛季 有望 前往 海外 发展 知情 人士 透露 联赛 也许 落脚 如此一来 杨昊 前往 广州 恒大 道路 似乎 更加 平坦 加上 杜文辉 意渐 徐云龙 长庆 成为 俱乐部 重点 挽留 对象 作为 国安 一手 培养 起来 球员 黄博文 志向 国内 联赛 前往 海外 发展 成为 主要 追求 队友 评价 小黄 去向 国外 肯定
0,体育,"伊万:某个时段场面急躁 怀着三连胜喜悦面对申花 新浪体育讯 7月24日,中超联赛第14轮,山东鲁能泰山队坐镇主场4:1战胜来访的长沙金德队,上半场比赛邓卓翔利用直接任意球先拔头筹,下半场比赛山东鲁能队韩鹏上演帽子戏法,帮助球队战胜对手。山东鲁能泰山队主教练伊万在赛后表示,“祝贺队员们取得了胜利,我对他们今天的表现满意。” 本场比赛中,应该说长沙金德队的一次犯规成为比赛的转折点,不但犯规队员被罚下,而且还被邓卓翔任意球进球,伊万认为第一个进球很关键,但是队员坚持进攻的态度也值得表扬。“",伊万 某个 时段 场面 急躁 怀着 三连胜 喜悦 面对 申花 新浪 体育讯 24 中超联赛 14 山东鲁能泰山队 坐镇 主场 战胜 来访 长沙 金德队 上半场 比赛 邓卓翔 利用 直接 任意球 先拔头筹 下半场 比赛 山东鲁能队 韩鹏 上演 帽子戏法 帮助 球队 战胜 对手 山东鲁能泰山队 主教练 伊万 赛后 祝贺 队员 取得 胜利 今天 表现 满意 本场 比赛 应该 长沙 金德队 一次 犯规 成为 比赛 转折点 不但 犯规 队员 而且 邓卓翔 任意球 进球 伊万 认为 第一个 进球 关键 队员 坚持 进攻 态度 值得 表扬
0,体育,"英足总官方任命新任主席 曼城9年功勋正式走马上任 新浪体育讯 北京时间12月22日晚,英足总正式任命前曼城主席大卫-伯恩斯坦为新任主席,英足总于当地时间今天上午召开了委员会,评委会全票通过伯恩斯坦出任主席。今年世界杯前,英足总前任主席特里斯曼因丑闻宣布辞职。 今年67岁的伯恩斯坦曾在曼城任职9年,期间有5年的时间担任曼城俱乐部主席,他在任期内帮助球队重返顶级联赛,并促成球队新球场 曼彻斯特城市球场的建立。会计师出身的伯恩斯坦还任职于多家企业的董事会,2003年,伯恩斯坦成为温布利大球场",英足 官方 任命 新任 主席 曼城 功勋 正式 走马上任 新浪 体育讯 北京 时间 12 22 日晚 英足 正式 任命 曼城 主席 大卫 伯恩斯坦 新任 主席 英足 总于 当地 时间 今天上午 召开 委员会 评委会 全票 伯恩斯坦 出任 主席 今年 世界杯 英足 前任 主席 特里斯 曼因 丑闻 宣布 辞职 今年 67 伯恩斯坦 曼城 任职 期间 时间 担任 曼城 俱乐部 主席 任期 帮助 球队 重返 顶级 联赛 促成 球队 球场 曼彻斯特 城市 球场 建立 会计师 出身 伯恩斯坦 任职 多家 企业 董事会 2003 伯恩斯坦 成为 温布利 大球场
0,体育,"知名媒体人热论CBA该否升降级 准入制有助于高规格? 本报特别策划 CBA大辩论之2 即将开始的NBL联赛是中国篮协主办的低级别联赛,而NBL与CBA之间并没有联系,导致广大媒体和球迷不关注NBL。其实NBL相当于过去的甲B,CBA相当于甲A,过去有甲B升甲A,现在则没有。NBL俱乐部或赞助商感到委屈,因为他们也许永远没有机会冲上CBA。而CBA实行准入制,就是为了经营好CBA这个品牌。对于中国篮协来说,他们没有何时考虑NBL与CBA之间关系问题的规划。于是众人开始议论CBA是否应该实行升",知名 媒体 人热论 CBA 该否 升降级 准入制 有助于 规格 本报 特别 策划 CBA 大辩论 即将 开始 NBL 联赛 中国篮协 主办 级别 联赛 NBL CBA 之间 没有 联系 导致 广大 媒体 球迷 关注 NBL 其实 NBL 相当于 过去 CBA 相当于 过去 有甲 升甲 现在 没有 NBL 俱乐部 赞助商 感到 委屈 也许 永远 没有 机会 冲上 CBA CBA 实行 准入制 就是 为了 经营 CBA 这个 品牌 对于 中国篮协 来说 没有 何时 考虑 NBL CBA 之间 关系 问题 规划 于是 众人 开始 议论 CBA 是否 应该 实行
1,科技,"广州市政协拟建“微博议政平台” 信息时报讯 记者 夏令 通讯员 薛小群 昨日上午,广州市政协主席林元和主持召开市政协十一届六十六次主席会议,听取了市政协办公厅关于实行“网上办文”和筹备“微博议政”的情况汇报。 据悉,今年3月23日,林元和在市政协十一届六十五次主席会议上提出“加强微博知识培训、开展微博议政活动、推动政协工作创新发展”。现已取得重要进展,3月底市政协办公厅制定了举办“微博议政”培训的实施方案,包括培训目的、培训内容、培训对象、培训时间和平台搭建等。还拟定",广州市 政协 拟建 微博 议政 平台 信息 时报讯 夏令 通讯员 小群 昨日 上午 广州市 政协主席 林元 主持 召开 市政协 十一届 六十六 主席 会议 听取 市政协 办公厅 关于 实行 网上 办文 筹备 微博 议政 情况汇报 据悉 今年 23 林元 市政协 十一届 六十五 主席 会议 提出 加强 微博 知识 培训 开展 微博 议政 活动 推动 政协 工作 创新 发展 现已 取得 重要 进展 月底 市政协 办公厅 制定 举办 微博 议政 培训 实施方案 包括 培训 目的 培训 内容 培训 对象 培训 时间 平台 搭建 拟定
