"tag"	"status"	"expected_itp"	"expected_sp"	"expected_ep"	"actual_itp"	"actual_sp"	"actual_ep"	"metrics_path"
"itp-0.2_sp-0.2_ep-0.2"	"BAD_TAG_FORMAT"							""
"itp-0.2_sp-0.6_ep-0.6"	"BAD_TAG_FORMAT"							""
"itp-0.2_sp-1_ep-1"	"BAD_TAG_FORMAT"							""
"itp-0.5_sp-0.2_ep-0.2"	"BAD_TAG_FORMAT"							""
"itp-0.5_sp-0.6_ep-0.6"	"BAD_TAG_FORMAT"							""
"itp-0.5_sp-1_ep-1"	"BAD_TAG_FORMAT"							""
"itp-1_sp-0.2_ep-0.2"	"BAD_TAG_FORMAT"							""
"itp-1_sp-0.6_ep-0.6"	"BAD_TAG_FORMAT"							""
"itp-1_sp-1_ep-1"	"BAD_TAG_FORMAT"							""
"itpm0p2_spm0p2_epm0p2"	"MISSING_METRICS"	"-0.2"	"-0.2"	"-0.2"				"D:\Project\project_nlp\Nlp\P1\nlp4j_baseline\output_grid\itpm0p2_spm0p2_epm0p2\nlp4j_hmm_metrics.json"
