sentence_id	gold_tokens	pred_tokens
1	毋庸讳言/，/涉企/谣言/如同/寄生/在/市场/肌体/上/的/“/毒瘤/”/，/不仅/误导/消费者/，/更/损害/企业/商誉/，/让/企业/蒙受/不白之冤/，/可谓/不胜其烦/、/不堪/其/苦/。	毋庸/讳言/，/涉企/谣言/如同寄生/在/市场/肌/体上/的/“/毒瘤/”/，/不仅/误导/消费者/，/更/损害/企业商/誉/，/让/企业/蒙受/不白之冤/，/可谓/不胜/其/烦/、/不堪/其/苦/。
2	AI/红包/大/战/之/热/，/令人/不禁/想起/11/年前/那个/改写/移动/支付/格局/的/除夕之夜/。	AI/红包/大战/之热/，/令人/不禁/想起/11/年/前那/个/改写/移动/支付/格局/的/除夕/之夜/。
3	他/表示/，/目前/我国/的/超大规模/市场/优势/还/没有/充分发挥/出来/，/扩大/消费/特别/是/服务/消费/潜力/巨大/，/城市更新/、/传统/基础设施/改造/升级/、/新型/基础/设施/建设/等/领域/都/有/巨大/的/投资/空间/。	他/表示/，/目前/我国/的/超大/规模/市场/优势/还/没有/充分/发挥/出来/，/扩大/消费/特别/是/服务/消费/潜力/巨大/，/城市/更新/、/传统/基础/设施/改造/升级/、/新型/基础/设施/建设/等/领域/都/有巨大/的/投资/空间/。
4	人民网/留言/板/，/成为/连接/党委政府/与/各族群众/的/“/连心桥/”/。	人民网/留言板/，/成为/连接/党委/政府/与/各族/群众/的/“/连心/桥/”/。
5	国家/金融/监督/管理/总局/、/中国人民银行/、/证监会/联合/发布公告/，/批准/渣打银行/、/汇丰银行/、/花旗银行/在/上海/自/贸/试验区/设立/全资/证券公司/。	国家/金融/监督/管理/总局/、/中国/人民银行/、/证/监会/联合/发布/公告/，/批准/渣/打银行/、/汇丰银行/、/花旗银行/在/上海/自/贸试验区/设立/全资/证券/公司/。
6	提前/12/小时/预报/到/县/、/提前/6/小时/和/2/小时/预报/到/乡镇村/，/让/基层干部/能/第一时间/组织/群众/转移/。	提前/12小时/预报/到县/、/提前6/小时/和/2小/时/预报/到/乡镇村/，/让/基层干部能/第/一/时间/组织/群众/转移/。
7	台北市/长/蒋/万安/15/日/受访/时/表示/，/赖清德/不/应该/美化/殖民主义/，/一再/撕裂/台湾/社会/，/制造/更深/的/仇恨/与/对立/。	台北/市长/蒋万/安15/日/受访/时/表示/，/赖清德/不应/该/美化/殖民/主义/，/一/再/撕裂/台湾/社会/，/制造/更深/的/仇恨/与/对立/。
8	此举/意义/深远/，/既是/优化/营商/环境/的/有力/抓手/，/也/是/维护/公平竞争/的/重要/举措/，/为/市场主体/安心/经营/筑/牢/了/坚实/的/网络/防线/。	此/举意/义/深远/，/既/是/优化/营商/环境/的/有力/抓/手/，/也/是/维护/公平/竞争/的/重要/举措/，/为/市场/主体/安心/经营/筑/牢/了/坚实/的/网络/防线/。
9	”/中新社/北京/3月/15/日电/据/中国国防部/网站/消息/，/3月/中旬/，/中越/第/十/次/边境/国防/友好/交流活动/将/在/中国/广西壮族自治区/、/越南/广宁省/相关/地区/、/口岸/及/北部湾/海域/举行/。	”/中新/社北京3月/15/日电/据/中国国/防部/网站/消息/，/3月/中旬/，/中越/第/十次/边境/国防友/好/交流/活动/将/在/中国/广西/壮族/自治/区/、/越南/广宁/省/相关/地区/、/口岸/及/北部湾海域/举行/。
10	传统/的/单一/税种/及/来源/征管/模式/已/难以/适应/当前/的/税收/环境/。	传统/的/单一/税种/及/来源/征管/模式/已难/以/适应/当前/的/税收/环境/。
11	此外/，/综合/所得/的/基本/减除/费用/标准/从/以往/的/按/月/计算/调整/为/按/年/计算/，/基本/减除/费用/标准/提高/到/5000/元///月/（/6/万/元///年/）/。	此外/，/综合/所得/的/基本/减除费/用/标准/从/以往/的/按月/计算/调整/为/按/年/计算/，/基本/减除费/用/标准/提高/到/5000元/月/（6/万/元//年/）/。
