sentence_id	char	gold_tag	pred_tag
1	毋	B	B
1	庸	M	E
1	讳	M	B
1	言	E	E
1	，	S	S
1	涉	B	B
1	企	E	E
1	谣	B	B
1	言	E	E
1	如	B	B
1	同	E	M
1	寄	B	M
1	生	E	E
1	在	S	S
1	市	B	B
1	场	E	E
1	肌	B	S
1	体	E	B
1	上	S	E
1	的	S	S
1	“	S	S
1	毒	B	B
1	瘤	E	E
1	”	S	S
1	，	S	S
1	不	B	B
1	仅	E	E
1	误	B	B
1	导	E	E
1	消	B	B
1	费	M	M
1	者	E	E
1	，	S	S
1	更	S	S
1	损	B	B
1	害	E	E
1	企	B	B
1	业	E	M
1	商	B	E
1	誉	E	S
1	，	S	S
1	让	S	S
1	企	B	B
1	业	E	E
1	蒙	B	B
1	受	E	E
1	不	B	B
1	白	M	M
1	之	M	M
1	冤	E	E
1	，	S	S
1	可	B	B
1	谓	E	E
1	不	B	B
1	胜	M	E
1	其	M	S
1	烦	E	S
1	、	S	S
1	不	B	B
1	堪	E	E
1	其	S	S
1	苦	S	S
1	。	S	S
2	A	B	B
2	I	E	E
2	红	B	B
2	包	E	E
2	大	S	B
2	战	S	E
2	之	S	B
2	热	S	E
2	，	S	S
2	令	B	B
2	人	E	E
2	不	B	B
2	禁	E	E
2	想	B	B
2	起	E	E
2	1	B	B
2	1	E	E
2	年	B	S
2	前	E	B
2	那	B	E
2	个	E	S
2	改	B	B
2	写	E	E
2	移	B	B
2	动	E	E
2	支	B	B
2	付	E	E
2	格	B	B
2	局	E	E
2	的	S	S
2	除	B	B
2	夕	M	E
2	之	M	B
2	夜	E	E
2	。	S	S
3	他	S	S
3	表	B	B
3	示	E	E
3	，	S	S
3	目	B	B
3	前	E	E
3	我	B	B
3	国	E	E
3	的	S	S
3	超	B	B
3	大	M	E
3	规	M	B
3	模	E	E
3	市	B	B
3	场	E	E
3	优	B	B
3	势	E	E
3	还	S	S
3	没	B	B
3	有	E	E
3	充	B	B
3	分	M	E
3	发	M	B
3	挥	E	E
3	出	B	B
3	来	E	E
3	，	S	S
3	扩	B	B
3	大	E	E
3	消	B	B
3	费	E	E
3	特	B	B
3	别	E	E
3	是	S	S
3	服	B	B
3	务	E	E
3	消	B	B
3	费	E	E
3	潜	B	B
3	力	E	E
3	巨	B	B
3	大	E	E
3	，	S	S
3	城	B	B
3	市	M	E
3	更	M	B
3	新	E	E
3	、	S	S
3	传	B	B
3	统	E	E
3	基	B	B
3	础	M	E
3	设	M	B
3	施	E	E
3	改	B	B
3	造	E	E
3	升	B	B
3	级	E	E
3	、	S	S
3	新	B	B
3	型	E	E
3	基	B	B
3	础	E	E
3	设	B	B
3	施	E	E
3	建	B	B
3	设	E	E
3	等	S	S
3	领	B	B
3	域	E	E
3	都	S	S
3	有	S	B
3	巨	B	M
3	大	E	E
3	的	S	S
3	投	B	B
3	资	E	E
3	空	B	B
3	间	E	E
3	。	S	S
4	人	B	B
4	民	M	M
4	网	E	E
4	留	B	B
4	言	E	M
4	板	S	E
4	，	S	S
4	成	B	B
4	为	E	E
4	连	B	B
4	接	E	E
4	党	B	B
4	委	M	E
4	政	M	B
4	府	E	E
4	与	S	S
4	各	B	B
4	族	M	E
4	群	M	B
4	众	E	E
4	的	S	S
4	“	S	S
4	连	B	B
4	心	M	E
4	桥	E	S
4	”	S	S
4	。	S	S
5	国	B	B
5	家	E	E
5	金	B	B
5	融	E	E
5	监	B	B
5	督	E	E
5	管	B	B
5	理	E	E
5	总	B	B
5	局	E	E
5	、	S	S
5	中	B	B
5	国	M	E
5	人	M	B
5	民	M	M
5	银	M	M
5	行	E	E
5	、	S	S
5	证	B	S
5	监	M	B
5	会	E	E
5	联	B	B
5	合	E	E
5	发	B	B
5	布	M	E
5	公	M	B
5	告	E	E
5	，	S	S
5	批	B	B
5	准	E	E
5	渣	B	S
5	打	M	B
5	银	M	M
5	行	E	E
5	、	S	S
5	汇	B	B
5	丰	M	M
5	银	M	M
5	行	E	E
5	、	S	S
5	花	B	B
5	旗	M	M
5	银	M	M
5	行	E	E
5	在	S	S
5	上	B	B
5	海	E	E
5	自	S	S
5	贸	S	B
5	试	B	M
5	验	M	M
5	区	E	E
5	设	B	B
5	立	E	E
5	全	B	B
5	资	E	E
5	证	B	B
5	券	M	E
5	公	M	B
5	司	E	E
5	。	S	S
6	提	B	B
6	前	E	E
6	1	B	B
6	2	E	M
6	小	B	M
6	时	E	E
6	预	B	B
6	报	E	E
6	到	S	B
6	县	S	E
6	、	S	S
6	提	B	B
6	前	E	M
6	6	S	E
6	小	B	B
6	时	E	E
6	和	S	S
6	2	S	B
6	小	B	E
6	时	E	S
6	预	B	B
6	报	E	E
6	到	S	S
6	乡	B	B
6	镇	M	M
6	村	E	E
6	，	S	S
6	让	S	S
6	基	B	B
6	层	M	M
6	干	M	M
6	部	E	M
6	能	S	E
6	第	B	S
6	一	M	S
6	时	M	B
6	间	E	E
6	组	B	B
6	织	E	E
6	群	B	B
6	众	E	E
6	转	B	B
6	移	E	E
6	。	S	S
7	台	B	B
7	北	M	E
7	市	E	B
7	长	S	E
7	蒋	S	B
7	万	B	E
7	安	E	B
7	1	B	M
7	5	E	E
7	日	S	S
7	受	B	B
7	访	E	E
7	时	S	S
7	表	B	B
7	示	E	E
7	，	S	S
7	赖	B	B
7	清	M	M
7	德	E	E
7	不	S	B
7	应	B	E
7	该	E	S
7	美	B	B
7	化	E	E
7	殖	B	B
7	民	M	E
7	主	M	B
7	义	E	E
7	，	S	S
7	一	B	S
7	再	E	S
7	撕	B	B
7	裂	E	E
7	台	B	B
7	湾	E	E
7	社	B	B
7	会	E	E
7	，	S	S
7	制	B	B
7	造	E	E
7	更	B	B
7	深	E	E
7	的	S	S
7	仇	B	B
7	恨	E	E
7	与	S	S
7	对	B	B
7	立	E	E
7	。	S	S
8	此	B	S
8	举	E	B
8	意	B	E
8	义	E	S
8	深	B	B
8	远	E	E
8	，	S	S
8	既	B	S
8	是	E	S
8	优	B	B
8	化	E	E
8	营	B	B
8	商	E	E
8	环	B	B
8	境	E	E
8	的	S	S
8	有	B	B
8	力	E	E
8	抓	B	S
8	手	E	S
8	，	S	S
